,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2020-01-01,76.281903,45.606099559528815,81.23764356947481,76.281903,76.281903,-13.307782639291245,-13.307782639291245,-13.307782639291245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13944867999243674,0.13944867999243674,0.13944867999243674,-13.44723131928368,-13.44723131928368,-13.44723131928368,62.97412036070875
1,2020-01-02,76.2678687020548,44.75700589556596,81.21920339454292,76.2678687020548,76.2678687020548,-13.360992067237442,-13.360992067237442,-13.360992067237442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349997729845518,0.3349997729845518,0.3349997729845518,-13.695991840221993,-13.695991840221993,-13.695991840221993,62.90687663481736
2,2020-01-03,76.2538344041096,50.23413412646294,86.25192253543818,76.2538344041096,76.2538344041096,-7.537702540205941,-7.537702540205941,-7.537702540205941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399618857399051,6.399618857399051,6.399618857399051,-13.93732139760499,-13.93732139760499,-13.93732139760499,68.71613186390366
3,2020-01-04,76.23980010616438,35.583454551366344,68.31956570562932,76.23980010616438,76.23980010616438,-23.893537727067518,-23.893537727067518,-23.893537727067518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.726227160282782,-9.726227160282782,-9.726227160282782,-14.167310566784732,-14.167310566784732,-14.167310566784732,52.34626237909686
4,2020-01-05,76.22576580821918,28.978513574726815,64.34983411073853,76.22576580821918,76.22576580821918,-29.73308568140419,-29.73308568140419,-29.73308568140419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.350824664219077,-15.350824664219077,-15.350824664219077,-14.38226101718511,-14.38226101718511,-14.38226101718511,46.49268012681499
5,2020-01-06,76.21173151027398,56.285571979763645,91.74606486011794,76.21173151027398,76.21173151027398,-2.398695816524416,-2.398695816524416,-2.398695816524416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.180070553036733,12.180070553036733,12.180070553036733,-14.578766369561151,-14.578766369561151,-14.578766369561151,73.81303569374955
6,2020-01-07,76.19769721232878,48.78470326601487,85.98458769361308,76.19769721232878,76.19769721232878,-8.730872446341692,-8.730872446341692,-8.730872446341692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.022913961120419,6.022913961120419,6.022913961120419,-14.753786407462112,-14.753786407462112,-14.753786407462112,67.46682476598708
7,2020-01-08,76.18366291438356,43.26216719635521,78.21936146810864,76.18366291438356,76.18366291438356,-14.765263965329105,-14.765263965329105,-14.765263965329105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13944868000028754,0.13944868000028754,0.13944868000028754,-14.904712645329393,-14.904712645329393,-14.904712645329393,61.418398949054456
8,2020-01-09,76.16962861643836,43.03974490152935,77.94220766260618,76.16962861643836,76.16962861643836,-14.694423709877558,-14.694423709877558,-14.694423709877558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349997729989203,0.3349997729989203,0.3349997729989203,-15.029423482876478,-15.029423482876478,-15.029423482876478,61.475204906560805
9,2020-01-10,76.15559431849316,49.178191336464465,84.68792753557977,76.15559431849316,76.15559431849316,-8.726708597339863,-8.726708597339863,-8.726708597339863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399618857451836,6.399618857451836,6.399618857451836,-15.1263274547917,-15.1263274547917,-15.1263274547917,67.42888572115329
