,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2020-01-01,57.820091,51.090225293722206,68.58897340359385,57.820091,57.820091,0.0,0.0,0.0,0.03864170693639911,0.03864170693639911,0.03864170693639911,0.0,0.0,0.0,0.0031637550277835574,0.0031637550277835574,0.0031637550277835574,0.03547795190861555,0.03547795190861555,0.03547795190861555,0.0,0.0,0.0,60.05435801145793
1,2020-01-02,57.591022184931504,51.44343855359733,68.01839682603828,57.591022184931504,57.591022184931504,0.0,0.0,0.0,0.03838600898670393,0.03838600898670393,0.03838600898670393,0.0,0.0,0.0,-0.0038051100002456754,-0.0038051100002456754,-0.0038051100002456754,0.0421911189869496,0.0421911189869496,0.0421911189869496,0.0,0.0,0.0,59.80171168007575
2,2020-01-03,57.36195336986301,57.500714927661924,74.40659340794815,57.36195336986301,57.36195336986301,0.0,0.0,0.0,0.15045843416251803,0.15045843416251803,0.15045843416251803,0.0,0.0,0.0,0.10090684051390159,0.10090684051390159,0.10090684051390159,0.04955159364861646,0.04955159364861646,0.04955159364861646,0.0,0.0,0.0,65.99254305439597
3,2020-01-04,57.132884554794515,43.455657576442675,60.06193793033443,57.132884554794515,57.132884554794515,0.0,0.0,0.0,-0.09332502375263618,-0.09332502375263618,-0.09332502375263618,0.0,0.0,0.0,-0.1507802333173098,-0.1507802333173098,-0.1507802333173098,0.05745520956467361,0.05745520956467361,0.05745520956467361,0.0,0.0,0.0,51.8009567466617
4,2020-01-05,56.90381573972602,38.6891260428159,55.47622869205282,56.90381573972602,56.90381573972602,0.0,0.0,0.0,-0.17739278119277366,-0.17739278119277366,-0.17739278119277366,0.0,0.0,0.0,-0.24317719034032562,-0.24317719034032562,-0.24317719034032562,0.06578440914755194,0.06578440914755194,0.06578440914755194,0.0,0.0,0.0,46.80948960517489
5,2020-01-06,56.67474692465753,62.96194935999691,80.46751870597849,56.67474692465753,56.67474692465753,0.0,0.0,0.0,0.27079084936018705,0.27079084936018705,0.27079084936018705,0.0,0.0,0.0,0.19637922113522388,0.19637922113522388,0.19637922113522388,0.07441162822496315,0.07441162822496315,0.07441162822496315,0.0,0.0,0.0,72.0217497816592
6,2020-01-07,56.44567810958904,58.21601674057528,73.99432431605187,56.44567810958904,56.44567810958904,0.0,0.0,0.0,0.18051566974115113,0.18051566974115113,0.18051566974115113,0.0,0.0,0.0,0.09731271698148183,0.09731271698148183,0.09731271698148183,0.08320295275966925,0.08320295275966925,0.08320295275966925,0.0,0.0,0.0,66.63500749753494
7,2020-01-08,56.216609294520545,53.11684125581734,70.1701664331626,56.216609294520545,56.216609294520545,0.0,0.0,0.0,0.09518569315854311,0.09518569315854311,0.09518569315854311,0.0,0.0,0.0,0.0031637550279038362,0.0031637550279038362,0.0031637550279038362,0.09202193813063926,0.09202193813063926,0.09202193813063926,0.0,0.0,0.0,61.56762621724248
8,2020-01-09,55.98754047945205,52.966390940420794,69.9489281978829,55.98754047945205,55.98754047945205,0.0,0.0,0.0,0.09692836710724334,0.09692836710724334,0.09692836710724334,0.0,0.0,0.0,-0.0038051100000156372,-0.0038051100000156372,-0.0038051100000156372,0.10073347710725897,0.10073347710725897,0.10073347710725897,0.0,0.0,0.0,61.41432135647603
9,2020-01-10,55.758471664383556,59.364711225853405,75.95568249076432,55.758471664383556,55.758471664383556,0.0,0.0,0.0,0.21011444214571845,0.21011444214571845,0.21011444214571845,0.0,0.0,0.0,0.1009068405147227,0.1009068405147227,0.1009068405147227,0.10920760163099576,0.10920760163099576,0.10920760163099576,0.0,0.0,0.0,67.47413183304336
