,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2020-01-01,137.503744,105.30457714425548,172.85285691267217,137.503744,137.503744,0.0,0.0,0.0,-0.004766467216864079,-0.004766467216864079,-0.004766467216864079,0.0,0.0,0.0,-0.0022375496438390985,-0.0022375496438390985,-0.0022375496438390985,-0.002528917573024981,-0.002528917573024981,-0.002528917573024981,0.0,0.0,0.0,136.84833691202795
1,2020-01-02,137.4852474739726,102.94861344529153,172.04474794168632,137.4852474739726,137.4852474739726,0.0,0.0,0.0,-0.0010174578729375272,-0.0010174578729375272,-0.0010174578729375272,0.0,0.0,0.0,-0.0011130340001504167,-0.0011130340001504167,-0.0011130340001504167,9.557612721288952e-05,9.557612721288952e-05,9.557612721288952e-05,0.0,0.0,0.0,137.34536202651745
2,2020-01-03,137.46675094794523,111.29585046169167,181.73041117654518,137.46675094794523,137.46675094794523,0.0,0.0,0.0,0.0626683253584747,0.0626683253584747,0.0626683253584747,0.0,0.0,0.0,0.059582388577381976,0.059582388577381976,0.059582388577381976,0.0030859367810927322,0.0030859367810927322,0.0030859367810927322,0.0,0.0,0.0,146.08156202232348
3,2020-01-04,137.44825442191782,90.59761331814467,159.8840275478877,137.44825442191782,137.44825442191782,0.0,0.0,0.0,-0.08563219256664509,-0.08563219256664509,-0.08563219256664509,0.0,0.0,0.0,-0.09205604252850569,-0.09205604252850569,-0.09205604252850569,0.0064238499618605935,0.0064238499618605935,0.0064238499618605935,0.0,0.0,0.0,125.67825903131093
4,2020-01-05,137.42975789589042,87.85153030016376,152.16674804942693,137.42975789589042,137.42975789589042,0.0,0.0,0.0,-0.13493037483980266,-0.13493037483980266,-0.13493037483980266,0.0,0.0,0.0,-0.14501253776242606,-0.14501253776242606,-0.14501253776242606,0.010082162922623407,0.010082162922623407,0.010082162922623407,0.0,0.0,0.0,118.8863091488546
5,2020-01-06,137.411261369863,123.21569817224795,189.23372670064268,137.411261369863,137.411261369863,0.0,0.0,0.0,0.13528263226004453,0.13528263226004453,0.13528263226004453,0.0,0.0,0.0,0.12125698162108231,0.12125698162108231,0.12125698162108231,0.01402565063896223,0.01402565063896223,0.01402565063896223,0.0,0.0,0.0,156.00061851015104
6,2020-01-07,137.39276484383564,113.10229233678663,179.63074606101554,137.39276484383564,137.39276484383564,0.0,0.0,0.0,0.0777917730285279,0.0777917730285279,0.0777917730285279,0.0,0.0,0.0,0.05957979373676825,0.05957979373676825,0.05957979373676825,0.018211979291759647,0.018211979291759647,0.018211979291759647,0.0,0.0,0.0,148.0807916223292
7,2020-01-08,137.37426831780823,104.7529151094132,173.94001764685638,137.37426831780823,137.37426831780823,0.0,0.0,0.0,0.020355288676316762,0.020355288676316762,0.020355288676316762,0.0,0.0,0.0,-0.002237549643764901,-0.002237549643764901,-0.002237549643764901,0.02259283832008167,0.02259283832008167,0.02259283832008167,0.0,0.0,0.0,140.17056120611502
8,2020-01-09,137.35577179178082,106.90864972374867,174.00780672434274,137.35577179178082,137.35577179178082,0.0,0.0,0.0,0.026002173968632965,0.026002173968632965,0.026002173968632965,0.0,0.0,0.0,-0.0011130340000107854,-0.0011130340000107854,-0.0011130340000107854,0.02711520796864375,0.02711520796864375,0.02711520796864375,0.0,0.0,0.0,140.92732046550654
9,2020-01-10,137.33727526575345,115.37910418545405,181.94091676740805,137.33727526575345,137.33727526575345,0.0,0.0,0.0,0.09130511459733574,0.09130511459733574,0.09130511459733574,0.0,0.0,0.0,0.05958238857787802,0.05958238857787802,0.05958238857787802,0.03172272601945773,0.03172272601945773,0.03172272601945773,0.0,0.0,0.0,149.8768709223789
