,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,special_event,special_event_lower,special_event_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2020-01-01,73.123294,35.24742786211274,74.03716555981116,73.123294,73.123294,-18.38528930204925,-18.38528930204925,-18.38528930204925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14904361079554046,0.14904361079554046,0.14904361079554046,-18.534332912844793,-18.534332912844793,-18.534332912844793,54.73800469795075
1,2020-01-02,73.11502664993151,36.306605723743864,72.80354990144723,73.11502664993151,73.11502664993151,-18.369496137101233,-18.369496137101233,-18.369496137101233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592210547846678,0.2592210547846678,0.2592210547846678,-18.628717191885897,-18.628717191885897,-18.628717191885897,54.74553051283027
2,2020-01-03,73.10675929986301,40.188051138777176,79.13754147124928,73.10675929986301,73.10675929986301,-12.48293766367236,-12.48293766367236,-12.48293766367236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234023489322671,6.234023489322671,6.234023489322671,-18.71696115299503,-18.71696115299503,-18.71696115299503,60.623821636190655
3,2020-01-04,73.09849194979452,27.169854953060696,63.26283325921328,73.09849194979452,73.09849194979452,-28.030925661912704,-28.030925661912704,-28.030925661912704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.233913245569287,-9.233913245569287,-9.233913245569287,-18.79701241634342,-18.79701241634342,-18.79701241634342,45.06756628788182
4,2020-01-05,73.09022459972603,20.49673965612602,58.499783480716935,73.09022459972603,73.09022459972603,-34.100976715363515,-34.100976715363515,-34.100976715363515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.23392002363365,-15.23392002363365,-15.23392002363365,-18.867056691729864,-18.867056691729864,-18.867056691729864,38.98924788436251
5,2020-01-06,73.08195724965753,47.34226036189758,84.33685421230992,73.08195724965753,73.08195724965753,-6.869878253828914,-6.869878253828914,-6.869878253828914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.055680497847748,12.055680497847748,12.055680497847748,-18.92555875167666,-18.92555875167666,-18.92555875167666,66.21207899582862
6,2020-01-07,73.07368989958904,39.595044908640446,78.44699213563153,73.07368989958904,73.07368989958904,-13.201430856946352,-13.201430856946352,-13.201430856946352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76986461648371,5.76986461648371,5.76986461648371,-18.97129547343006,-18.97129547343006,-18.97129547343006,59.87225904264269
7,2020-01-08,73.06542254952055,35.17776912551592,73.85278772614981,73.06542254952055,73.06542254952055,-18.854336465385135,-18.854336465385135,-18.854336465385135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14904361080416464,0.14904361080416464,0.14904361080416464,-19.003380076189302,-19.003380076189302,-19.003380076189302,54.21108608413542
8,2020-01-09,73.05715519945205,34.90689245752376,72.30905748234714,73.05715519945205,73.05715519945205,-18.762055869841756,-18.762055869841756,-18.762055869841756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592210547991101,0.2592210547991101,0.2592210547991101,-19.021276924640866,-19.021276924640866,-19.021276924640866,54.295099329610295
9,2020-01-10,73.04888784938356,40.92908263584722,79.3143959237278,73.04888784938356,73.04888784938356,-12.790783044920436,-12.790783044920436,-12.790783044920436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234023489374711,6.234023489374711,6.234023489374711,-19.02480653429515,-19.02480653429515,-19.02480653429515,60.25810480446312
